miller_indices,h,k,l,stereo_x,stereo_y,GCN Density 4.75,GCN Density 4.833,GCN Density 4.917,GCN Density 5.0,GCN Density 5.083,GCN Density 5.167,GCN Density 5.417,GCN Density 5.5,GCN Density 5.583,GCN Density 5.667,GCN Density 5.75,GCN Density 5.833,GCN Density 5.917,GCN Density 6.0,GCN Density 6.167,GCN Density 6.25,GCN Density 6.333,GCN Density 6.417,GCN Density 6.5,GCN Density 6.583,GCN Density 6.667,GCN Density 6.75,GCN Density 6.833,GCN Density 6.917,GCN Density 7.0,GCN Density 7.083,GCN Density 7.167,GCN Density 7.25,GCN Density 7.333,GCN Density 7.417,GCN Density 7.5,GCN Density 7.583,GCN Density 7.667,GCN Density 7.75,GCN Density 7.833,GCN Density 7.917,GCN Density 8.0,GCN Density 8.083,GCN Density 8.167,GCN Density 8.25,GCN Density 8.333,GCN Density 8.417,GCN Density 8.5,GCN Density 8.583,GCN Density 8.667,GCN Density 8.75,GCN Density 8.833,GCN Density 8.917,GCN Density 9.0,GCN Density 9.083,GCN Density 9.167,GCN Density 9.25,GCN Density 9.333,GCN Density 9.417,GCN Density 9.5,GCN Density 9.583,GCN Density 9.667,GCN Density 9.75,surface_chirality
[21 18 15],0.6674238124719145,0.5720775535473553,0.4767312946227961,0.34309067033129664,0.2859088919427472,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,S
[21 19 15],0.6552908033850113,0.5928821554435817,0.4680648595607224,0.358174016451465,0.2827689603564198,0.02999738825462483,0.019951900186377925,0.0,0.0,0.0,0.0,0.019860314710481657,0.010137073544143173,0.019860314710481657,0.0,0.0,0.0,0.0,0.0,0.019951900186377925,0.02999738825462483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02999738825462483,0.019951900186377925,0.019860314710481657,0.02999738825462483,0.0,0.04994928844100276,0.400974880611552,0.04994928844100276,0.0,0.02999738825462483,0.03981221489685958,0.02999738825462483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04994928844100276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02999738825462483,0.0,0.019860314710481657,0.019951900186377925,0.0,0.02999738825462483,S
[21 20 15],0.6431920864232732,0.6125638918316888,0.4594229188737666,0.3727889739081285,0.27959173043109636,0.02280895407865191,0.001539216501846384,0.0,0.0,0.0,0.0,0.01973052107495914,0.058077442584760164,0.01973052107495914,0.0,0.0,0.0,0.0,0.0,0.001539216501846384,0.02280895407865191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02280895407865191,0.001539216501846384,0.07472953065602654,0.02280895407865191,0.0,0.024348170580498294,0.4150606964172998,0.024348170580498294,0.0,0.02280895407865191,0.07626874715787292,0.02280895407865191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024348170580498294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02280895407865191,0.0,0.07472953065602654,0.001539216501846384,0.0,0.02280895407865191,S
[21 21 15],0.6311687442672026,0.6311687442672026,0.45083481733371616,0.3869426424981881,0.27638760178442007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,A
[22 15 15],0.7198619901040573,0.4908149932527663,0.4908149932527663,0.2853804526624083,0.2853804526624083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1892007686271509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1892007686271509,0.0,0.0,0.0,0.24319692549139638,0.0,0.1892007686271509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1892007686271509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A
[22 16 15],0.7082050579776155,0.5150582239837204,0.48286708498473785,0.3015201375141167,0.28267512891948443,0.02618441021201242,0.0,0.0,0.0,0.0,0.0,0.02618441021201242,0.0793220489357539,0.02618441021201242,0.0,0.0,0.0,0.0,0.0,0.0,0.02618441021201242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02618441021201242,0.0,0.10550645914776632,0.02618441021201242,0.0,0.02618441021201242,0.2637612408647856,0.02618441021201242,0.13169086935977875,0.0,0.02618441021201242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02618441021201242,0.0,0.0,0.10550645914776632,0.02618441021201242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02618441021201242,0.0,0.0,S
[22 17 15],0.6963978316162103,0.5381255971579806,0.4748167033746888,0.31721662638845266,0.27989702328392885,0.03851719425408352,0.012595623755460918,0.0,0.0,0.0,0.0,0.019332988962734828,0.03851719425408352,0.019332988962734828,0.0,0.0,0.0,0.0,0.0,0.012595623755460918,0.03851719425408352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03851719425408352,0.012595623755460918,0.038665977925469656,0.03851719425408352,0.0,0.05111281800954444,0.28236476720543174,0.05111281800954444,0.07718317217955317,0.0,0.05111281800954444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03851719425408352,0.012595623755460918,0.0,0.038665977925469656,0.03851719425408352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05111281800954444,0.0,0.0,S
[22 18 15],0.6844985304157606,0.5600442521583496,0.46670354346529136,0.33246942163857035,0.2770578513654753,0.025175375656049985,0.04967969985162624,0.0,0.0,0.0,0.0,0.0,0.025175375656049985,0.0,0.0,0.0,0.0,0.0,0.0,0.04967969985162624,0.025175375656049985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025175375656049985,0.04967969985162624,0.0,0.025175375656049985,0.0,0.07485507550767623,0.3004578933143902,0.07485507550767623,0.025175375656049985,0.0,0.07485507550767623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025175375656049985,0.04967969985162624,0.0,0.0,0.025175375656049985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07485507550767623,0.0,0.0,S
[22 19 15],0.6725596245673174,0.580846948489956,0.45856338038680733,0.3472802643075986,0.27416862971652517,0.012038992349659675,0.061218566794911014,0.0,0.0,0.0,0.0,0.012038992349659675,0.0,0.012038992349659675,0.0,0.0,0.0,0.0,0.0,0.061218566794911014,0.012038992349659675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012038992349659675,0.061218566794911014,0.012038992349659675,0.012038992349659675,0.0,0.07325755914457069,0.3176275880461571,0.07325755914457069,0.0,0.012038992349659675,0.07325755914457069,0.012038992349659675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07325755914457069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012038992349659675,0.0,0.012038992349659675,0.061218566794911014,0.0,0.012038992349659675,S
[22 20 15],0.6606278948920247,0.6005708135382042,0.4504281101536532,0.36165285154218957,0.2712396386566422,0.03687426867971772,0.01072939341232932,0.0,0.0,0.0,0.0,0.03439232747847547,0.0024819412012422543,0.03439232747847547,0.0,0.0,0.0,0.0,0.0,0.01072939341232932,0.03687426867971772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03687426867971772,0.01072939341232932,0.03439232747847547,0.03687426867971772,0.0,0.04760366209204704,0.334104318630851,0.04760366209204704,0.0,0.03687426867971772,0.04512172089080478,0.03687426867971772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04760366209204704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03687426867971772,0.0,0.03439232747847547,0.01072939341232932,0.0,0.03687426867971772,S
[22 21 15],0.6487446070815474,0.6192562158505679,0.4423258684646914,0.3755925649071369,0.2682804035050978,0.023327374545927523,0.0,0.0,0.0,0.0,0.0,0.023327374545927523,0.06946973269519102,0.023327374545927523,0.0,0.0,0.0,0.0,0.0,0.0,0.023327374545927523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023327374545927523,0.0,0.09279710724111853,0.023327374545927523,0.0,0.023327374545927523,0.34888307648439554,0.023327374545927523,0.0,0.023327374545927523,0.09279710724111853,0.023327374545927523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023327374545927523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023327374545927523,0.0,0.09279710724111853,0.0,0.0,0.023327374545927523,S
