normal_miller_index,x_coordinate(mm),y_coordinate(mm),molecule,h,k,l,surface_chirality,halftime(s),stereographic_projection_x,stereographic_projection_y
100,-2.65165,2.65165,L-TA,0.980226841,-0.055737112,0.189864992,S,1155.8,-0.05601469667083886,0.1908105668498082
100,-2.20419,3.03381,L-TA,0.980540608,-0.028070785,0.194299119,S,1425.9,-0.028208349767704727,0.1952513087293028
100,-1.70246,3.34127,L-TA,0.980932,-5.25e-05,0.194351252,S,1685.4,-5.2752071375272045e-05,0.1952844022357616
100,-1.15881,3.56646,L-TA,0.9813914,0.027628049,0.190020026,R,2016.4,0.027757482749577008,0.19091024464916706
100,-0.58663,3.70383,L-TA,0.981907531,0.054288998,0.181411976,R,2207.7,0.054536232177365404,0.18223813309080858
100,-2.3e-16,3.75,L-TA,0.982467688,0.079274294,0.168738936,R,1887.5,0.07962406068325685,0.16948343027428533
100,0.58663,3.70383,L-TA,0.983058087,0.101968422,0.152312964,R,1490.8,0.10240307040699889,0.1529622099711486
100,1.15881,3.56646,L-TA,0.98366417,0.121812447,0.132538777,R,1370.1,0.12231299226055503,0.13308339832812346
100,1.70246,3.34127,L-TA,0.98427103,0.138318039,0.109902952,S,1289.0,0.13886516836283175,0.1103376829471405
100,2.20419,3.03381,L-TA,0.984863678,0.151078772,0.084963166,S,1206.0,0.15165373184265873,0.08528650996095799
100,2.65165,2.65165,L-TA,0.985427513,0.15978058,0.058333371,S,1122.8,0.160365880537085,0.058547054999496556
100,3.03381,2.20419,L-TA,0.985948774,0.164208455,0.03066918,S,1280.5,0.16478834488475824,0.030777485916743626
100,3.34127,1.70246,L-TA,0.9864145,0.164254077,0.002652013,S,1544.0,0.1648148037206568,0.0026610663798599665
100,3.56646,1.15881,L-TA,0.98681324,0.159916251,-0.025028441,R,1798.4,0.16044606670702044,-0.025111362285867522
100,3.70383,0.58663,L-TA,0.987135207,0.151301661,-0.05169033,R,1799.6,0.15179063737333234,-0.051857382694152195
100,3.75,4.59e-16,L-TA,0.987372475,0.138622313,-0.076677577,R,1529.7,0.13906201038836988,-0.07692079131105704
100,3.70383,-0.58663,L-TA,0.987519208,0.122190416,-0.099374621,R,1311.4,0.1225734680240957,-0.09968614829456125
100,3.56646,-1.15881,L-TA,0.987571784,0.102410831,-0.119222451,S,1215.3,0.10273051768172986,-0.11959461700408107
100,3.34127,-1.70246,L-TA,0.987528911,0.079770273,-0.135732651,S,1127.3,0.08002014773141738,-0.1361578239176506
100,3.03381,-2.20419,L-TA,0.987391613,0.054826525,-0.148498668,S,1110.1,0.0550001649387704,-0.1489689750205344
100,2.65165,-2.65165,L-TA,0.987163255,0.02819365,-0.157206315,S,1241.2,0.02828456656102246,-0.15771326098006339
100,2.20419,-3.03381,L-TA,0.986849578,0.000527327,-0.161640442,S,1438.4,0.000529069239563279,-0.16217448704809787
100,1.70246,-3.34127,L-TA,0.986458189,-0.027490961,-0.161692575,R,1729.7,-0.027584505654978657,-0.16224277315935084
100,1.15881,-3.56646,L-TA,0.985998737,-0.055171512,-0.15736135,R,1725.8,-0.055365649623621734,-0.15791507342412708
100,0.58663,-3.70383,L-TA,0.985482574,-0.08183246,-0.1487533,R,1514.6,-0.08213108588729716,-0.1492961357671379
100,6.89e-16,-3.75,L-TA,0.984922398,-0.106817755,-0.136080262,R,1408.6,-0.10722268485711141,-0.1365961215689204
100,-0.58663,-3.70383,L-TA,0.984332019,-0.129511884,-0.119654288,S,1306.2,-0.13002218164971158,-0.1201257451362757
100,-1.15881,-3.56646,L-TA,0.983725968,-0.149355906,-0.099880099,S,1185.3,-0.14996729540281423,-0.1002889588550675
100,-1.70246,-3.34127,L-TA,0.983119161,-0.1658615,-0.077244278,S,1090.2,-0.16656593275021447,-0.07757234327849966
100,-2.20419,-3.03381,L-TA,0.982526507,-0.178622235,-0.052304487,S,1143.1,-0.17940767399278731,-0.05253448067121085
100,-2.65165,-2.65165,L-TA,0.981962583,-0.187324041,-0.025674696,S,1376.8,-0.18817450839154634,-0.025791261346440855
100,-3.03381,-2.20419,L-TA,0.981441411,-0.191751917,0.001989497,R,1615.3,-0.19264781809583953,0.0019987923049458664
100,-3.34127,-1.70246,L-TA,0.980975689,-0.191797542,0.030006662,R,1885.6,-0.19271630581071894,0.03015040229426339
100,-3.56646,-1.15881,L-TA,0.980576898,-0.187459711,0.057687116,R,2151.3,-0.1883766574324172,0.057969288606212095
100,-3.70383,-0.58663,L-TA,0.980254899,-0.178845125,0.084349006,R,1805.2,-0.17973454484083454,0.08476848447049827
100,-4.5,0.0,L-TA,0.972127885,-0.196544426,0.127818875,R,1411.9,-0.19792843585945102,0.12871893910674775
100,-4.4615,0.58737,L-TA,0.971973413,-0.180405862,0.150736225,R,1345.1,-0.18168334423652283,0.15180361187813818
100,-4.34667,1.16469,L-TA,0.971897001,-0.161414731,0.171351991,S,1278.8,-0.16256088362232743,0.17256870481917228
100,-4.15746,1.72208,L-TA,0.97190013,-0.139895424,0.189312991,S,1253.7,-0.14088866335930772,0.19065708867319817
100,-3.89711,2.25,L-TA,0.971982734,-0.116216319,0.204311851,S,1118.5,-0.11703898839742463,0.2057581290166775
100,-3.57009,2.73943,L-TA,0.972143176,-0.090782873,0.216092839,S,1132.2,-0.0914217857097013,0.21761365957716478
100,-3.18198,3.18198,L-TA,0.972378961,-0.064030028,0.224453362,S,1191.2,-0.06447680500501546,0.22601951157032363
100,-2.73943,3.57009,L-TA,0.972685891,-0.036415608,0.229251089,S,1396.9,-0.036666849332926674,0.2308327555528487
100,-2.25,3.89711,L-TA,0.973058879,-0.008411841,0.230403252,S,1649.2,-0.008469076000719559,0.23197093858537518
100,-1.72208,4.15746,L-TA,0.973491294,0.019501865,0.227891154,R,1863.1,0.01963240642594547,0.2294166099604181
100,-1.16469,4.34667,L-TA,0.973975959,0.046848039,0.221756832,R,2422.7,0.04715583993450626,0.22321381849462676
100,-0.58737,4.4615,L-TA,0.97450459,0.073158601,0.212105216,R,2317.2,0.0736294092377619,0.21347020769749114
100,-2.76e-16,4.5,L-TA,0.975067976,0.097983657,0.199102097,R,1907.8,0.09860015974540419,0.20035482621193612
100,0.58737,4.4615,L-TA,0.975656597,0.120898169,0.182969499,R,1449.7,0.12164072273707194,0.18409329339967062
100,1.16469,4.34667,L-TA,0.976260262,0.141510345,0.163983911,R,1351.0,0.14235775108481946,0.16496589549020735
100,1.72208,4.15746,L-TA,0.976868804,0.15946706,0.142469633,S,1279.3,0.1603973028888812,0.1433007222731061
100,2.25,3.89711,L-TA,0.977471797,0.174461013,0.118794954,S,1217.5,0.175451965826857,0.11946971905758134
100,2.73943,3.57009,L-TA,0.978058726,0.186236563,0.093365258,S,1160.3,0.187266612882934,0.09388164893593562
100,3.18198,3.18198,L-TA,0.978619768,0.1945912,0.066615418,S,1251.5,0.19563971534249489,0.06697436171286938
100,3.57009,2.73943,L-TA,0.979145182,0.199382702,0.039003206,S,1424.7,0.20043042542852763,0.039208161456536494
100,3.89711,2.25,L-TA,0.979626123,0.200528406,0.011000823,S,1574.5,0.20155766170294814,0.011057287119152642
100,4.15746,1.72208,L-TA,0.980054142,0.198009722,-0.016912358,R,1911.9,0.19900453758330253,-0.016997326945559103
100,4.34667,1.16469,L-TA,0.98042211,0.191868803,-0.044258871,R,2091.5,0.19281485088165212,-0.044477098301672714
100,4.4615,0.58737,L-TA,0.980723738,0.182210689,-0.070570628,R,1891.2,0.18309517298455052,-0.07091319072553622
100,4.5,5.51e-16,L-TA,0.98095372,0.169201283,-0.095397721,R,1553.1,0.170012747139571,-0.09585523425413
100,4.4615,-0.58737,L-TA,0.981108225,0.153062718,-0.11831507,R,1327.0,0.15379078662749715,-0.11887785558066066
100,4.34667,-1.16469,L-TA,0.981184504,0.13407159,-0.138930837,S,1289.9,0.13470673082996834,-0.13958899766715088
100,4.15746,-1.72208,L-TA,0.981181398,0.112552281,-0.156891837,S,1153.4,0.11308556649273811,-0.15763520834581157
100,3.89711,-2.25,L-TA,0.981098949,0.088873176,-0.171890696,S,1090.0,0.08929612530002247,-0.17270872741089024
100,3.57009,-2.73943,L-TA,0.980938383,0.063439733,-0.183671686,S,1054.9,0.06374422726765618,-0.1845532624643547
100,3.18198,-3.18198,L-TA,0.980702658,0.036686885,-0.192032206,S,1225.1,0.03686516601520832,-0.1929653922500284
100,2.73943,-3.57009,L-TA,0.980395669,0.009072466,-0.196829934,S,1317.8,0.00911726048918419,-0.1978017641892438
100,2.25,-3.89711,L-TA,0.980022803,-0.018931302,-0.197982097,R,1497.7,-0.01902656484110525,-0.19897834844895979
100,1.72208,-4.15746,L-TA,0.979590233,-0.046845007,-0.195469999,R,1771.8,-0.04708587602555596,-0.1964750723514578
100,1.16469,-4.34667,L-TA,0.979105546,-0.074191181,-0.189335678,R,1804.1,-0.07458179032140444,-0.19033251185146854
100,0.58737,-4.4615,L-TA,0.978577047,-0.100501743,-0.179684062,R,1515.4,-0.10104436717084682,-0.18065420353433276
100,8.27e-16,-4.5,L-TA,0.978013628,-0.1253268,-0.166680941,R,1323.6,-0.12602140260881195,-0.1676047419464682
100,-0.58737,-4.4615,L-TA,0.97742504,-0.148241312,-0.150548344,R,1203.9,-0.14908509733698425,-0.15140526089759507
100,-1.16469,-4.34667,L-TA,0.976821243,-0.168853486,-0.131562759,S,1102.2,-0.16984052720996864,-0.1323318154637213
100,-1.72208,-4.15746,L-TA,0.976212723,-0.186810201,-0.11004848,S,1112.6,-0.18793113647010282,-0.11070881462842268
100,-2.25,-3.89711,L-TA,0.975609886,-0.201804156,-0.086373799,S,1054.2,-0.20304603277530012,-0.08690533223052742
100,-2.73943,-3.57009,L-TA,0.975022834,-0.213579705,-0.060944102,S,1153.0,-0.2149259819610015,-0.06132825666690304
100,-3.18198,-3.18198,L-TA,0.974461851,-0.221934343,-0.034194263,S,1440.9,-0.22336500694392664,-0.03441469080086201
100,-3.57009,-2.73943,L-TA,0.973936378,-0.226725845,-0.006582053,S,1728.0,-0.22821776695379756,-0.006625364821692666
100,-3.89711,-2.25,L-TA,0.97345556,-0.227871549,0.021420333,R,2145.0,-0.22939895060103002,0.021563911481220558
100,-4.15746,-1.72208,L-TA,0.973027385,-0.225352863,0.049333512,R,2453.5,-0.22688799703985524,0.04966957852504259
100,-4.34667,-1.16469,L-TA,0.972659394,-0.219211944,0.076680024,R,2125.5,-0.22072583011307906,0.07720957919378163
100,-4.4615,-0.58737,L-TA,0.972357899,-0.209553833,0.102991784,R,1511.7,-0.21101714603877714,0.10371097495087189
100,0.0,0.0,D-TA,0.999764303,-0.0139967,0.016596087,S,1464.7,-0.01399752481795336,0.016597064998421993
100,-0.75,0.0,D-TA,0.998391009,-0.044466579,0.035186878,R,1485.5,-0.04448447638084897,0.035201040388261357
100,-0.53033,0.53033,D-TA,0.998432854,-0.022380847,0.05129263,S,1478.8,-0.022389620670158265,0.05131273757757157
100,-4.59e-17,0.75,D-TA,0.998881024,0.004621431,0.047067418,R,1459.3,0.004622724360333664,0.04708059035536984
100,0.53033,0.53033,D-TA,0.999472988,0.02072269,0.024986306,R,1459.0,0.020725420816277276,0.024989598671517736
100,0.75,9.18e-17,D-TA,0.999861981,0.016491037,-0.002015882,R,1471.2,0.016491606048561414,-0.002015951561104743
100,0.53033,-0.53033,D-TA,0.999820137,-0.005594694,-0.018121631,R,1460.3,-0.005594945586581027,-0.018122445907693956
100,1.38e-16,-0.75,D-TA,0.999371966,-0.032596976,-0.013896419,S,1438.6,-0.0326020952079766,-0.013898601369891949
100,-0.53033,-0.53033,D-TA,0.998780002,-0.04869823,0.00818469,R,1500.4,-0.04871308973446394,0.00818718746900595
100,-1.5,0.0,D-TA,0.99573965,-0.074918567,0.053756462,R,1441.4,-0.0749984895386654,0.053813808971315
100,-1.38582,0.57403,D-TA,0.995663735,-0.056035483,0.074254636,S,1406.2,-0.05609632813405291,0.07433526407777476
100,-1.06066,1.06066,D-TA,0.995823341,-0.030747101,0.085967957,S,1460.5,-0.030779256411122877,0.086057862549168
100,-0.57403,1.38582,D-TA,0.996194121,-0.002903272,0.087113971,S,1454.1,-0.0029060383242214263,0.08719697579183552
100,-9.18e-17,1.5,D-TA,0.996719681,0.023257461,0.077517535,R,1404.1,0.02327655746695466,0.07758118386715425
100,0.57403,1.38582,D-TA,0.997319964,0.043752063,0.058639965,R,1410.8,0.04378140677015912,0.058679293834736294
100,1.06066,1.06066,D-TA,0.99790361,0.055459975,0.033355309,S,1448.0,0.055489064304693955,0.033372804189037895
100,1.38582,0.57403,D-TA,0.99838174,0.056599564,0.005512853,S,1520.2,0.05662247610770284,0.005515084661743647
100,1.5,1.84e-16,D-TA,0.998681595,0.046996669,-0.020649069,R,1438.6,0.04701216682342225,-0.02065587832568212
100,1.38582,-0.57403,D-TA,0.998757493,0.028113586,-0.041147244,S,1448.7,0.02812232290293449,-0.041160031393143295
100,1.06066,-1.06066,D-TA,0.998597907,0.002825202,-0.052860565,S,1444.4,0.0028261928199755488,-0.05287910360492835
100,0.57403,-1.38582,D-TA,0.998227107,-0.025018624,-0.054006578,R,1456.4,-0.02502972021353474,-0.054030530896920656
100,2.76e-16,-1.5,D-TA,0.997701565,-0.051179358,-0.044410143,S,1468.6,-0.05120879147845853,-0.04443568347253447
100,-0.57403,-1.38582,D-TA,0.997101264,-0.071673958,-0.025532572,S,1516.5,-0.07172595550004555,-0.02555109518402359
100,-1.06066,-1.06066,D-TA,0.996517638,-0.083381871,-0.000247917,S,1407.6,-0.08345455739868185,-0.00024813311644936593
100,-1.38582,-0.57403,D-TA,0.996039489,-0.084521462,0.027594538,R,1306.0,-0.08460527354175826,0.02762190076348233
100,-2.25,0.0,D-TA,0.991802838,-0.105352556,0.072304703,R,1257.0,-0.10556911992358554,0.07245333337756167
100,-2.17333,0.58234,D-TA,0.991687446,-0.087787631,0.094070934,S,1278.3,-0.08797063652002654,0.09426703793856113
100,-1.94856,1.125,D-TA,0.991730225,-0.065188707,0.110551315,S,1378.7,-0.06532390038670582,0.11078058487460624
100,-1.59099,1.59099,D-TA,0.991928374,-0.039095359,0.120621946,S,1528.5,-0.03917448937631363,0.12086608904466835
100,-1.125,1.94856,D-TA,0.992268301,-0.01128614,0.123597094,S,1565.9,-0.01130801871467701,0.1238366927959155
100,-0.58234,2.17333,D-TA,0.992726925,0.016343754,0.119273355,R,1515.7,0.01637355263471955,0.11949081930700196
100,-1.38e-16,2.25,D-TA,0.993272883,0.041911481,0.107946314,R,1312.5,0.04198214517143895,0.10812831512849028
100,0.58234,2.17333,D-TA,0.993869067,0.0636745,0.090387142,R,1307.2,0.06377232098107272,0.09052600070963729
100,1.125,1.94856,D-TA,0.99447476,0.080150287,0.067792945,S,1368.0,0.08026122931452187,0.06788678254579136
100,1.59099,1.59099,D-TA,0.995048778,0.090215255,0.041702973,S,1386.3,0.09032713170412889,0.041754689211095514
100,1.94856,1.125,D-TA,0.99555193,0.093184059,0.013895552,S,1509.9,0.09328785447002132,0.013911029919362213
100,2.17333,0.58234,D-TA,0.995949991,0.088853729,-0.013734246,R,1415.0,0.08894383046555385,-0.013748173110395974
100,2.25,2.76e-16,D-TA,0.996215755,0.077520297,-0.039303593,R,1424.7,0.07759374018816084,-0.039340829456615954
100,2.17333,-0.58234,D-TA,0.996331185,0.059955371,-0.061069825,S,1439.0,0.06001043806428274,-0.06112591565414691
100,1.94856,-1.125,D-TA,0.996288343,0.037356445,-0.077550204,S,1472.1,0.0373911568996232,-0.07762226425351197
100,1.59099,-1.59099,D-TA,0.996090223,0.011263099,-0.087620837,S,1450.8,0.01127412421879575,-0.08770660725727926
100,1.125,-1.94856,D-TA,0.995750266,-0.016546118,-0.090595987,R,1322.9,-0.016563725214774266,-0.09069239287603666
100,0.58234,-2.17333,D-TA,0.995291706,-0.044176015,-0.086272246,R,1347.7,-0.044228105406010985,-0.08637397442257545
100,4.13e-16,-2.25,D-TA,0.994745709,-0.069743745,-0.074945205,R,1377.2,-0.06983553939047914,-0.07504384537860757
100,-0.58234,-2.17333,D-TA,0.994149564,-0.091506761,-0.057386034,S,1409.2,-0.09164089396015178,-0.05747015192230074
100,-1.125,-1.94856,D-TA,0.993543808,-0.107982546,-0.034791837,S,1507.9,-0.1081572581169926,-0.034848129018678016
100,-1.59099,-1.59099,D-TA,0.992969819,-0.118047516,-0.008701865,S,1481.0,-0.1182555384251845,-0.008717199359605908
100,-1.94856,-1.125,D-TA,0.992466638,-0.121016322,0.019105555,R,1345.9,-0.12124488283024339,0.019141639235918696
100,-2.17333,-0.58234,D-TA,0.99206864,-0.11668599,0.046735357,R,1261.2,-0.11691805008398543,0.046828302270212036
100,-3.0,0.0,D-TA,0.986568095,-0.135768378,0.090831396,R,1142.8,-0.1362265943040929,0.09113795064242725
